venta_id,producto_id,nombre,fecha,cantidad_vendida,precio_unitario,total
1,6,Cable HDMI 2m,2026-03-09,1,35000,35000
2,8,Webcam Full HD,2026-03-09,5,280000,1400000
3,1,Laptop HP 14,2026-03-10,5,2350000,11750000
4,1,Laptop HP 14,2026-03-10,4,2350000,9400000
5,2,Monitor Samsung 24,2026-03-10,2,1200000,2400000
6,5,Mouse Inalambrico,2026-03-10,4,150000,600000
7,5,Mouse Inalambrico,2026-03-10,5,150000,750000
8,7,Disco SSD 500GB,2026-03-11,3,450000,1350000
9,1,Laptop HP 14,2026-03-11,3,2350000,7050000
10,7,Disco SSD 500GB,2026-03-11,2,450000,900000
11,6,Cable HDMI 2m,2026-03-11,2,35000,70000
12,1,Laptop HP 14,2026-03-12,3,2350000,7050000
13,4,Teclado Mecanico,2026-03-12,1,320000,320000
14,3,Silla Ergonomica,2026-03-12,4,850000,3400000
15,3,Silla Ergonomica,2026-03-12,5,850000,4250000
16,8,Webcam Full HD,2026-03-13,5,280000,1400000
17,4,Teclado Mecanico,2026-03-13,3,320000,960000
18,8,Webcam Full HD,2026-03-14,1,280000,280000
19,3,Silla Ergonomica,2026-03-14,2,850000,1700000
20,2,Monitor Samsung 24,2026-03-14,1,1200000,1200000
21,1,Laptop HP 14,2026-03-14,4,2350000,9400000
22,6,Cable HDMI 2m,2026-03-14,3,35000,105000
23,7,Disco SSD 500GB,2026-03-14,4,450000,1800000
24,2,Monitor Samsung 24,2026-03-15,1,1200000,1200000
25,3,Silla Ergonomica,2026-03-15,5,850000,4250000
26,6,Cable HDMI 2m,2026-03-15,2,35000,70000
27,6,Cable HDMI 2m,2026-03-15,5,35000,175000
28,2,Monitor Samsung 24,2026-03-16,5,1200000,6000000
29,4,Teclado Mecanico,2026-03-16,2,320000,640000
30,8,Webcam Full HD,2026-03-16,3,280000,840000
31,2,Monitor Samsung 24,2026-03-17,3,1200000,3600000
32,1,Laptop HP 14,2026-03-17,4,2350000,9400000
33,1,Laptop HP 14,2026-03-18,2,2350000,4700000
34,8,Webcam Full HD,2026-03-18,4,280000,1120000
35,5,Mouse Inalambrico,2026-03-18,4,150000,600000
36,6,Cable HDMI 2m,2026-03-18,4,35000,140000
